Date,Open,High,Low,Close,Volume
2020-11-23,10.8,10.8,10.4,10.6,11500.0
2020-11-24,10.8,10.8,10.4,10.54,8500.0
2020-11-25,11.0,11.34,10.75,10.85,25500.0
2020-11-26,11.39,11.39,10.51,10.85,43000.0
2020-11-27,10.35,11.23,10.35,11.23,94000.0
2020-11-30,11.07,11.47,11.07,11.27,2000.0
2020-12-01,11.3,11.5,11.06,11.49,65000.0
2020-12-02,11.49,11.78,11.25,11.27,31500.0
2020-12-03,11.05,11.05,11.05,11.05,500.0
2020-12-04,10.8,11.4,10.8,11.0,4000.0
2020-12-07,11.0,11.0,11.0,11.0,1000.0
2020-12-08,11.01,11.25,10.9,11.0,25000.0
2020-12-09,10.75,11.68,10.75,11.41,41500.0
2020-12-10,11.5,12.41,11.49,12.41,124500.0
2020-12-11,13.39,13.41,13.14,13.41,167000.0
2020-12-14,13.8,14.41,13.75,14.41,72500.0
2020-12-15,15.49,15.49,14.55,15.48,300000.0
2020-12-16,15.5,16.6,15.5,16.37,123000.0
2020-12-17,16.81,17.25,15.7,16.43,129500.0
2020-12-18,15.5,15.9,15.2,15.23,41500.0
2020-12-21,15.35,15.35,14.15,14.18,44000.0
2020-12-22,13.6,13.61,13.12,13.25,53500.0
2020-12-23,12.53,13.75,12.53,13.5,13000.0
2020-12-24,13.99,13.99,13.1,13.16,11500.0
2020-12-28,13.12,13.15,13.11,13.15,6000.0
2020-12-29,13.25,13.25,12.75,12.75,23500.0
2020-12-30,13.35,13.75,13.34,13.75,27500.0
2020-12-31,14.78,14.78,14.31,14.78,111500.0
2021-01-01,15.2,15.78,14.0,14.33,119000.0
2021-01-04,14.6,14.6,13.7,14.0,21500.0
2021-01-05,13.6,13.7,13.5,13.5,18500.0
2021-01-06,13.03,14.45,13.02,13.99,43500.0
2021-01-07,13.99,14.5,13.53,13.99,28500.0
2021-01-08,14.2,14.24,13.6,13.79,19000.0
2021-01-11,13.8,14.25,13.8,14.0,14000.0
2021-01-12,14.0,14.0,14.0,14.0,1000.0
2021-01-13,14.49,14.49,14.0,14.0,19500.0
2021-01-14,14.25,15.05,14.25,15.05,244500.0
2021-01-15,15.0,15.4,14.28,14.5,55500.0
2021-01-18,14.0,14.25,13.75,13.85,97500.0
2021-01-19,13.75,14.05,13.5,14.05,18500.0
2021-01-20,14.5,14.5,14.0,14.1,10500.0
2021-01-21,14.7,14.7,14.0,14.35,23500.0
2021-01-22,14.1,14.1,14.0,14.01,5500.0
2021-01-25,14.0,14.39,13.9,13.9,17500.0
2021-01-26,14.0,14.0,13.61,13.75,8500.0
2021-01-27,13.6,13.61,13.6,13.61,1500.0
2021-01-28,13.26,14.5,13.26,13.75,19500.0
2021-01-29,13.8,13.8,13.8,13.8,500.0
2021-02-01,13.75,13.75,13.5,13.5,18000.0
2021-02-02,13.51,13.6,13.51,13.51,1500.0
2021-02-03,13.59,13.75,13.31,13.68,18500.0
2021-02-04,13.65,13.65,13.51,13.55,2500.0
2021-02-08,13.55,13.55,13.55,13.55,500.0
2021-02-09,13.51,13.65,13.51,13.65,13000.0
2021-02-10,14.0,14.25,13.65,14.09,40500.0
2021-02-11,13.9,13.9,13.81,13.83,18000.0
2021-02-12,13.8,13.8,13.45,13.5,62500.0
2021-02-15,13.5,14.0,13.5,14.0,12000.0
2021-02-16,13.56,13.56,13.41,13.5,8000.0
2021-02-17,14.1,14.1,13.22,13.26,17500.0
2021-02-18,12.78,14.0,12.78,13.86,22000.0
2021-02-19,13.38,13.38,12.83,13.0,11000.0
2021-02-22,13.5,13.6,12.75,12.83,8500.0
2021-02-23,12.21,12.75,12.09,12.6,8500.0
2021-02-25,12.11,13.6,12.11,13.59,8500.0
2021-02-26,13.9,13.9,13.59,13.9,1000.0
2021-03-01,13.0,13.0,13.0,13.0,2500.0
2021-03-02,13.0,13.0,12.7,12.74,13500.0
2021-03-04,12.5,12.5,12.5,12.5,1000.0
2021-03-05,12.15,12.15,12.15,12.15,500.0
2021-03-09,11.3,12.29,11.25,12.03,3000.0
2021-03-10,11.6,12.03,11.5,11.5,11000.0
2021-03-11,11.52,11.52,11.5,11.5,5000.0
2021-03-12,12.0,12.0,12.0,12.0,500.0
2021-03-16,12.0,12.5,12.0,12.0,11000.0
2021-03-18,11.61,12.0,11.6,12.0,2500.0
2021-03-19,12.0,12.0,12.0,12.0,8000.0
2021-03-22,11.15,11.65,11.15,11.55,2000.0
2021-03-24,11.01,12.1,11.01,12.1,5000.0
2021-03-25,11.91,12.0,11.9,12.0,1500.0
2021-03-29,12.74,12.74,12.74,12.74,1000.0
2021-04-09,12.0,12.15,12.0,12.15,2500.0
2021-04-13,11.48,12.1,11.48,12.1,1000.0
2021-04-14,11.99,11.99,11.99,11.99,10000.0
2021-04-23,11.56,12.0,11.5,12.0,3000.0
2021-04-28,11.05,11.8,11.05,11.59,40500.0
2021-04-29,11.61,11.69,11.61,11.69,2500.0
2021-04-30,11.72,11.72,11.69,11.7,3500.0
2021-05-03,11.0,11.0,10.81,11.0,3500.0
2021-05-04,11.45,11.45,11.45,11.45,500.0
2021-05-06,11.5,11.8,11.5,11.8,6500.0
2021-05-18,11.95,11.95,11.95,11.95,500.0
2021-05-19,11.7,11.7,11.7,11.7,2500.0
2021-05-21,11.71,12.35,11.7,12.3,23000.0
2021-05-24,12.0,12.25,11.7,11.7,30000.0
2021-05-25,12.1,12.1,11.88,11.89,5500.0
2021-05-26,11.88,12.25,11.88,12.1,13000.0
2021-05-27,11.81,12.1,11.26,12.0,67000.0
2021-05-28,12.05,12.3,12.05,12.3,52500.0
2021-05-31,12.33,12.8,12.33,12.45,13000.0
2021-06-01,12.8,12.86,12.75,12.86,10000.0
2021-06-02,12.94,13.0,12.7,13.0,10000.0
2021-06-03,12.3,13.02,12.3,13.02,8500.0
2021-06-04,13.1,13.1,13.1,13.1,500.0
2021-06-07,13.1,13.3,13.1,13.3,2000.0
2021-06-08,13.06,13.1,13.0,13.0,12000.0
2021-06-09,13.0,13.0,13.0,13.0,1000.0
2021-06-10,13.2,13.35,13.2,13.2,25000.0
2021-06-11,13.0,13.02,13.0,13.0,3500.0
2021-06-14,13.45,13.5,13.3,13.3,6000.0
2021-06-15,13.25,13.25,13.25,13.25,2000.0
2021-06-16,13.15,14.0,13.15,14.0,34000.0
2021-06-17,13.98,13.98,13.2,13.5,16000.0
2021-06-18,13.5,14.0,13.5,13.92,7000.0
2021-06-21,14.5,14.5,13.05,13.8,16000.0
2021-06-22,13.99,14.0,13.99,14.0,10000.0
2021-06-23,13.75,13.9,13.75,13.9,3000.0
2021-06-24,13.6,13.86,13.6,13.85,4000.0
2021-06-28,13.35,13.6,13.3,13.38,5500.0
2021-06-30,13.6,14.38,13.6,14.0,37500.0
2021-07-01,14.4,15.05,13.6,15.05,71000.0
2021-07-02,14.8,15.0,14.65,14.98,20000.0
2021-07-05,14.35,14.55,14.2,14.35,28000.0
2021-07-06,14.5,14.99,14.22,14.48,16500.0
2021-07-07,14.35,14.36,14.0,14.09,13000.0
2021-07-08,14.3,15.14,14.3,15.11,48000.0
2021-07-09,15.7,16.0,15.4,15.5,20000.0
2021-07-12,15.0,15.0,15.0,15.0,11500.0
2021-07-13,15.0,15.0,15.0,15.0,19500.0
2021-07-14,15.0,15.0,15.0,15.0,1500.0
2021-07-15,15.55,16.12,15.55,16.12,326000.0
2021-07-16,16.2,16.3,15.0,16.12,55500.0
2021-07-19,16.0,16.39,15.6,16.39,17000.0
2021-07-23,16.5,16.6,16.0,16.6,17500.0
2021-07-26,16.65,16.65,16.1,16.1,7000.0
2021-07-27,16.49,16.7,15.5,16.01,21000.0
2021-07-28,15.65,17.21,15.4,17.21,160500.0
2021-07-29,17.9,18.5,17.9,18.46,154000.0
2021-07-30,19.32,19.58,18.8,18.8,84500.0
2021-08-02,19.4,19.5,18.01,18.29,14000.0
2021-08-03,19.35,19.44,18.4,18.86,55500.0
2021-08-04,19.5,19.7,17.5,18.9,14000.0
2021-08-05,18.5,19.0,18.5,18.5,11000.0
2021-08-06,18.99,18.99,18.99,18.99,500.0
2021-08-10,18.4,19.0,18.4,19.0,3000.0
2021-08-11,18.99,19.0,18.99,19.0,1500.0
2021-08-13,18.75,20.4,18.75,20.2,95000.0
2021-08-16,19.01,19.01,18.69,18.69,36000.0
2021-08-17,18.0,18.99,17.31,17.44,33500.0
2021-08-20,16.28,18.5,16.28,18.0,11500.0
2021-08-23,18.0,18.9,17.3,17.51,17500.0
